A;102;20041001 11:04;PDANN;
B;102;1105889;1;20041001 11:04;;;44;ALFRED ST;MITTAGONG;2575;;;20040531;20040913;525000;A;R;RESIDENCE;;LG;;0;AA953156;
C;102;1105889;1;20041001 11:04;159/P/1289;
D;102;1105889;1;20041001 11:04;P;;;;;;
D;102;1105889;1;20041001 11:04;P;;;;;;
D;102;1105889;1;20041001 11:04;V;;;;;;
D;102;1105889;1;20041001 11:04;V;;;;;;
D;102;1105889;1;20041001 11:04;V;;;;;;
B;102;1106483;2;20041001 11:04;;;300;ARGYLE ST;MOSS VALE;2577;597.4;M;20040722;20040902;520000;B;R;RESIDENCE;;BQ;;0;AA973323;
C;102;1106483;2;20041001 11:04;1/260811;
D;102;1106483;2;20041001 11:04;P;;;;;;
D;102;1106483;2;20041001 11:04;V;;;;;;
D;102;1106483;2;20041001 11:04;V;;;;;;
B;102;1106484;3;20041001 11:04;;;290;ARGYLE ST;MOSS VALE;2577;;;20040722;20040902;1000000;B;3;;;BQ;;0;4438547;
C;102;1106484;3;20041001 11:04;PT LOT 3 SEC 2 & PT LOT 1 SEC 7;
D;102;1106484;3;20041001 11:04;P;;;;;;
D;102;1106484;3;20041001 11:04;V;;;;;;
B;102;1106582;4;20041001 11:04;;;59;ARGYLE ST;NEW BERRIMA;2577;613.4;M;20040507;20040902;285000;Z;R;RESIDENCE;;DR;;0;AA965906;
C;102;1106582;4;20041001 11:04;237/15995;
D;102;1106582;4;20041001 11:04;P;;;;;;
D;102;1106582;4;20041001 11:04;V;;;;;;
B;102;1107643;5;20041001 11:04;;;;BERRIMA RD;MOSS VALE;2577;7348;M;20031121;20040617;670000;A;3;COMMERCIAL;;SD;;0;AA954792;
C;102;1107643;5;20041001 11:04;101/701929;
D;102;1107643;5;20041001 11:04;P;;;;;;
D;102;1107643;5;20041001 11:04;P;;;;;;
D;102;1107643;5;20041001 11:04;V;;;;;;
D;102;1107643;5;20041001 11:04;V;;;;;;
B;102;1107678;6;20041001 11:04;;;12;BERTHA ST;HILL TOP;2575;;;20040804;20040910;335000;Z;R;RESIDENCE;;CG;;0;AA969600;
C;102;1107678;6;20041001 11:04;23/5/6221;
D;102;1107678;6;20041001 11:04;P;;;;;;
D;102;1107678;6;20041001 11:04;P;;;;;;
D;102;1107678;6;20041001 11:04;V;;;;;;
D;102;1107678;6;20041001 11:04;V;;;;;;
