A;237;20040716 12:48;PDANN;
B;237;2628559;1;20040716 12:48;;;;PH BABY;COONABARABRAN;2357;491.8;H;20030705;20040625;194560;R;3;FARM;;MB;;0;AA769437;
C;237;2628559;1;20040716 12:48;B//100101 22, 40//753364;
D;237;2628559;1;20040716 12:48;P;;;;;;
D;237;2628559;1;20040716 12:48;P;;;;;;
D;237;2628559;1;20040716 12:48;V;;;;;;
B;237;2628796;2;20040716 12:48;;;12;LACHLAN ST;BARADINE;2396;1012;M;20040531;20040611;390000;Z;3;HOTEL;;BE;;0;AA749160;
C;237;2628796;2;20040716 12:48;A//391715;
D;237;2628796;2;20040716 12:48;P;;;;;;
D;237;2628796;2;20040716 12:48;V;;;;;;
B;237;2628973;3;20040716 12:48;"TATTERSALLS HOTEL";;19;WELLINGTON ST;BARADINE;2396;1878;M;20040531;20040611;390000;Z;3;HOTEL;;BE;;0;AA749160;
C;237;2628973;3;20040716 12:48;A//370745;
D;237;2628973;3;20040716 12:48;P;;;;;;
D;237;2628973;3;20040716 12:48;V;;;;;;
B;237;2629157;4;20040716 12:48;;;7;ANDYS LANE;BINNAWAY;2395;1012;M;20040601;20040611;52000;Z;R;RESIDENCE;;AX;;0;AA774582;
C;237;2629157;4;20040716 12:48;B//103571;
D;237;2629157;4;20040716 12:48;P;;;;;;
D;237;2629157;4;20040716 12:48;V;;;;;;
B;237;2629333;5;20040716 12:48;;;18;PARK ST;BINNAWAY;2395;1998;M;20040505;20040616;42000;Z;R;RESIDENCE;;AX;;0;AA778202;
C;237;2629333;5;20040716 12:48;146//754959;
D;237;2629333;5;20040716 12:48;P;;;;;;
D;237;2629333;5;20040716 12:48;P;;;;;;
D;237;2629333;5;20040716 12:48;V;;;;;;
B;237;2629394;6;20040716 12:48;;;9;RENSHAW ST;BINNAWAY;2395;2023;M;20040504;20040615;36000;Z;R;RESIDENCE;;BF;;0;AA778702;
C;237;2629394;6;20040716 12:48;9/1/758113;
D;237;2629394;6;20040716 12:48;P;;;;;;
D;237;2629394;6;20040716 12:48;P;;;;;;
D;237;2629394;6;20040716 12:48;V;;;;;;
B;237;2629507;7;20040716 12:48;;;;OXLEY HWY;COONABARABRAN;2357;259;H;20040527;20040527;30000;R;V;VACANT LAND;;GE;;0;AA701534;
C;237;2629507;7;20040716 12:48;261//829056;
D;237;2629507;7;20040716 12:48;P;;;;;;
D;237;2629507;7;20040716 12:48;V;;;;;;
D;237;2629507;7;20040716 12:48;V;;;;;;
B;237;2630278;8;20040716 12:48;;;30;COWPER ST;COONABARABRAN;2357;897.9;M;20040315;20040421;29166;Z;R;RESIDENCE;;AB;;0;AA763062;
C;237;2630278;8;20040716 12:48;D//302436;
D;237;2630278;8;20040716 12:48;P;;;;;;
D;237;2630278;8;20040716 12:48;V;;;;;;
D;237;2630278;8;20040716 12:48;V;;;;;;
B;237;2630384;9;20040716 12:48;;;84;DALGARNO ST;COONABARABRAN;2357;980.1;M;20040518;20040602;75000;Z;R;RESIDENCE;;AB;AC;0;AA750664;
C;237;2630384;9;20040716 12:48;B//350836;
D;237;2630384;9;20040716 12:48;P;;;;;;
D;237;2630384;9;20040716 12:48;P;;;;;;
D;237;2630384;9;20040716 12:48;V;;;;;;
B;237;2630602;10;20040716 12:48;;;7;HAGAN AVE;COONABARABRAN;2357;910.5;M;20040512;20040623;155000;Z;R;RESIDENCE;;AA;AC;0;AA756215;
C;237;2630602;10;20040716 12:48;14//200863;
D;237;2630602;10;20040716 12:48;P;;;;;;
D;237;2630602;10;20040716 12:48;V;;;;;;
B;237;2630916;11;20040716 12:48;;;;MEREBENE ST;COONABARABRAN;2357;1.758;H;20040414;20040601;65000;Z;R;RESIDENCE;;AE;RV;0;AA707930;
C;237;2630916;11;20040716 12:48;82, 83//18607;
D;237;2630916;11;20040716 12:48;P;;;;;;
D;237;2630916;11;20040716 12:48;V;;;;;;
D;237;2630916;11;20040716 12:48;V;;;;;;
D;237;2630916;11;20040716 12:48;V;;;;;;
B;237;2631187;12;20040716 12:48;;;6;SHORT ST;COONABARABRAN;2357;1287;M;20040210;20040324;60000;Z;R;RESIDENCE;;AA;;0;AA777602;
C;237;2631187;12;20040716 12:48;1//200468;
D;237;2631187;12;20040716 12:48;P;;;;;;
D;237;2631187;12;20040716 12:48;P;;;;;;
D;237;2631187;12;20040716 12:48;V;;;;;;
B;237;2631190;13;20040716 12:48;;;12;SHORT ST;COONABARABRAN;2357;928.4;M;20040531;20040627;182000;Z;R;RESIDENCE;;AA;;0;AA785209;
C;237;2631190;13;20040716 12:48;18//748331;
D;237;2631190;13;20040716 12:48;P;;;;;;
D;237;2631190;13;20040716 12:48;P;;;;;;
D;237;2631190;13;20040716 12:48;V;;;;;;
B;237;2631276;14;20040716 12:48;;;30;TIMOR ST;COONABARABRAN;2357;980.1;M;20040505;20040611;210000;Z;R;RESIDENCE;;BB;;0;AA765821;
C;237;2631276;14;20040716 12:48;A//383857;
D;237;2631276;14;20040716 12:48;P;;;;;;
D;237;2631276;14;20040716 12:48;P;;;;;;
D;237;2631276;14;20040716 12:48;V;;;;;;
D;237;2631276;14;20040716 12:48;V;;;;;;
D;237;2631276;14;20040716 12:48;V;;;;;;
B;237;2631408;15;20040716 12:48;;;;PH GARRAWILLIA;COONABARABRAN;2357;453.6;H;20040607;20040625;185000;R;R;RESIDENCE;;HF;;0;AA767011;
C;237;2631408;15;20040716 12:48;52//1005504;
D;237;2631408;15;20040716 12:48;P;;;;;;
D;237;2631408;15;20040716 12:48;V;;;;;;
B;237;2631467;16;20040716 12:48;;;;PH GORAGILLA;COONABARABRAN;2357;552.8;H;20040525;20040618;400000;R;V;VACANT LAND;;GA;;0;AA760573;
C;237;2631467;16;20040716 12:48;58, 59, 65, 66, 67, 75, 85//755499;
D;237;2631467;16;20040716 12:48;P;;;;;;
D;237;2631467;16;20040716 12:48;P;;;;;;
D;237;2631467;16;20040716 12:48;V;;;;;;
B;237;2631531;17;20040716 12:48;;;;TIMOR RD;COONABARABRAN;2357;9.921;H;20040531;20040625;34000;R;V;VACANT LAND;;HD;;0;AA788651;
C;237;2631531;17;20040716 12:48;2//249230;
D;237;2631531;17;20040716 12:48;P;;;;;;
D;237;2631531;17;20040716 12:48;P;;;;;;
D;237;2631531;17;20040716 12:48;V;;;;;;
D;237;2631531;17;20040716 12:48;V;;;;;;
B;237;2631608;18;20040716 12:48;;;;PH MEREBENE;COONABARABRAN;2357;477.5;H;20040519;20040615;320000;R;R;RESIDENCE;;CE;;0;AA758712;
C;237;2631608;18;20040716 12:48;23//750289;
D;237;2631608;18;20040716 12:48;P;;;;;;
D;237;2631608;18;20040716 12:48;P;;;;;;
D;237;2631608;18;20040716 12:48;V;;;;;;
D;237;2631608;18;20040716 12:48;V;;;;;;
B;237;2959508;19;20040716 12:48;;;13;NAMOI ST;COONABARABRAN;2357;861.2;M;20040416;20040528;65000;Z;R;RESIDENCE;;AB;;0;AA772963;
C;237;2959508;19;20040716 12:48;50//1044996;
D;237;2959508;19;20040716 12:48;P;;;;;;
D;237;2959508;19;20040716 12:48;P;;;;;;
D;237;2959508;19;20040716 12:48;V;;;;;;
D;237;2959508;19;20040716 12:48;V;;;;;;
B;237;3083680;20;20040716 12:48;;;;ROPERS RD;BINNAWAY;2395;71.66;H;20040422;20040528;68000;R;V;VACANT LAND;;HJ;;0;AA759719;
C;237;3083680;20;20040716 12:48;222//1065246;
D;237;3083680;20;20040716 12:48;P;;;;;;
D;237;3083680;20;20040716 12:48;V;;;;;;
D;237;3083680;20;20040716 12:48;V;;;;;;
B;237;3084467;21;20040716 12:48;;;;BOURKES RD;BINNAWAY;2395;79.96;H;20030922;20040622;139500;R;3;;;HJ;;0;AA749770;
C;237;3084467;21;20040716 12:48;2//1067388;
D;237;3084467;21;20040716 12:48;P;;;;;;
D;237;3084467;21;20040716 12:48;P;;;;;;
D;237;3084467;21;20040716 12:48;V;;;;;;
B;237;3103363;22;20040716 12:48;;;;TIMOR RD;COONABARABRAN;2357;6.426;H;20040527;20040527;35000;;3;SMALL FARM;;;;0;AA769617;
C;237;3103363;22;20040716 12:48;26//584671;
D;237;3103363;22;20040716 12:48;P;;;;;;
D;237;3103363;22;20040716 12:48;P;;;;;;
D;237;3103363;22;20040716 12:48;V;;;;;;
D;237;3103363;22;20040716 12:48;V;;;;;;
D;237;3103363;22;20040716 12:48;V;;;;;;
D;237;3103363;22;20040716 12:48;V;;;;;;
D;237;3103363;22;20040716 12:48;V;;;;;;
B;237;3103364;23;20040716 12:48;;;;TIMOR RD;COONABARABRAN;2357;6.956;H;20040527;20040527;35000;;3;SMALL FARM;;;;0;AA769637;
C;237;3103364;23;20040716 12:48;27//594147;
D;237;3103364;23;20040716 12:48;P;;;;;;
D;237;3103364;23;20040716 12:48;P;;;;;;
D;237;3103364;23;20040716 12:48;V;;;;;;
D;237;3103364;23;20040716 12:48;V;;;;;;
D;237;3103364;23;20040716 12:48;V;;;;;;
D;237;3103364;23;20040716 12:48;V;;;;;;
D;237;3103364;23;20040716 12:48;V;;;;;;
B;237;3103385;24;20040716 12:48;;;;TIMOR RD;COONABARABRAN;2357;44.77;H;20040527;20040625;65000;;3;FARMN RURAL;;;;0;AA771907;
C;237;3103385;24;20040716 12:48;4//808552;
D;237;3103385;24;20040716 12:48;P;;;;;;
D;237;3103385;24;20040716 12:48;P;;;;;;
D;237;3103385;24;20040716 12:48;V;;;;;;
D;237;3103385;24;20040716 12:48;V;;;;;;
Z;132;24;24;82;
