A;153;20041019 08:34;PDANN;
B;153;1715794;1;20041019 08:34;;;893;COALDALE RD;FORTIS CREEK;2460;129.5;H;20040816;20040913;85000;R;R;RESIDENCE;;CF;;0;AA992353;
C;153;1715794;1;20041019 08:34;12/751361;
D;153;1715794;1;20041019 08:34;P;;;;;;
D;153;1715794;1;20041019 08:34;V;;;;;;
B;153;1715867;2;20041019 08:34;;;10;DUGGAN CL;WARRAGAI CREEK;2460;3.041;H;20040813;20040924;260000;R;R;RESIDENCE;;RX;;0;AB10786;
C;153;1715867;2;20041019 08:34;5/843206;
D;153;1715867;2;20041019 08:34;P;;;;;;
D;153;1715867;2;20041019 08:34;P;;;;;;
D;153;1715867;2;20041019 08:34;V;;;;;;
B;153;1716159;3;20041019 08:34;;;53;STOCKYARD CREEK RD;COPMANHURST;2460;27.6;H;20040617;20040903;160000;R;R;RESIDENCE;;CF;;0;AA987415;
C;153;1716159;3;20041019 08:34;3792/805032;
D;153;1716159;3;20041019 08:34;P;;;;;;
D;153;1716159;3;20041019 08:34;V;;;;;;
B;153;1716325;4;20041019 08:34;;;1119;ROGAN BRIDGE RD;THE WHITEMAN;2460;22.97;H;20040816;20040927;300000;R;3;FARM;;CK;;0;AA993206;
C;153;1716325;4;20041019 08:34;1/103174;
D;153;1716325;4;20041019 08:34;P;;;;;;
D;153;1716325;4;20041019 08:34;P;;;;;;
D;153;1716325;4;20041019 08:34;V;;;;;;
B;153;1716364;5;20041019 08:34;;;99;ELLEM LANE;THE WHITEMAN;2460;40.48;H;20040817;20040928;150000;R;V;VACANT LAND;;CL;;0;AA992356;
C;153;1716364;5;20041019 08:34;851/622742;
D;153;1716364;5;20041019 08:34;P;;;;;;
D;153;1716364;5;20041019 08:34;P;;;;;;
D;153;1716364;5;20041019 08:34;V;;;;;;
D;153;1716364;5;20041019 08:34;V;;;;;;
B;153;1716494;6;20041019 08:34;;;490;PECKHAMS RD;EWINGAR;2469;388.5;H;20000418;20000418;20000;R;V;VACANT LAND;;RB;;0;AA993252;
C;153;1716494;6;20041019 08:34;63/752376;
D;153;1716494;6;20041019 08:34;P;;;;;;
D;153;1716494;6;20041019 08:34;V;;;;;;
D;153;1716494;6;20041019 08:34;V;;;;;;
D;153;1716494;6;20041019 08:34;V;;;;;;
B;153;1716640;7;20041019 08:34;;;1195;LAWRENCE RD;SOUTHGATE;2460;1384;M;20040816;20040917;258000;R;R;RESIDENCE;;GH;;0;AB4531;
C;153;1716640;7;20041019 08:34;1/724258;
D;153;1716640;7;20041019 08:34;P;;;;;;
D;153;1716640;7;20041019 08:34;P;;;;;;
D;153;1716640;7;20041019 08:34;V;;;;;;
B;153;3100938;8;20041019 08:34;;;1025;LAWRENCE RD;SOUTHGATE;2460;21.45;H;20040329;20040514;390000;R;3;RESIDENCE-LOT 36;;GA;;0;AA997135;
C;153;3100938;8;20041019 08:34;36/42338 PT 111/751371;
D;153;3100938;8;20041019 08:34;P;;;;;;
D;153;3100938;8;20041019 08:34;P;;;;;;
D;153;3100938;8;20041019 08:34;P;;;;;;
D;153;3100938;8;20041019 08:34;V;;;;;;
D;153;3100938;8;20041019 08:34;V;;;;;;
D;153;3100938;8;20041019 08:34;V;;;;;;
D;153;3100938;8;20041019 08:34;V;;;;;;
D;153;3100938;8;20041019 08:34;V;;;;;;
B;153;3100938;9;20041019 08:34;;;1025;LAWRENCE RD;SOUTHGATE;2460;21.45;H;20040329;20040514;390000;R;R;RESIDENCE;;GA;;0;4439734;
C;153;3100938;9;20041019 08:34;36/42338 PT 111/751371;
D;153;3100938;9;20041019 08:34;P;;;;;;
D;153;3100938;9;20041019 08:34;P;;;;;;
D;153;3100938;9;20041019 08:34;P;;;;;;
D;153;3100938;9;20041019 08:34;V;;;;;;
D;153;3100938;9;20041019 08:34;V;;;;;;
D;153;3100938;9;20041019 08:34;V;;;;;;
D;153;3100938;9;20041019 08:34;V;;;;;;
D;153;3100938;9;20041019 08:34;V;;;;;;
B;153;3127541;10;20041019 08:34;LOT 34;;;CLARK RD;TRENAYR;2460;3085;M;20040823;20041005;38500;;V;VACANT LAND;;;;0;AA999865;
C;153;3127541;10;20041019 08:34;34/1070269;
D;153;3127541;10;20041019 08:34;P;;;;;;
D;153;3127541;10;20041019 08:34;P;;;;;;
D;153;3127541;10;20041019 08:34;V;;;;;;
D;153;3127541;10;20041019 08:34;V;;;;;;
Z;63;10;10;41;
