A;246;20040916 10:06;PDANN;
B;246;2653363;1;20040916 10:06;;;22;LEARMONTH ST;WILLOW TREE;2339;1012;M;20040722;20040826;23500;Z;V;VACANT LAND;;ZW;;0;AA917452;
C;246;2653363;1;20040916 10:06;1/E/192655;
D;246;2653363;1;20040916 10:06;P;;;;;;
D;246;2653363;1;20040916 10:06;V;;;;;;
B;246;2653461;2;20040916 10:06;RIVER BLOCK;;;WEST WARRAH RD;BLACKVILLE;2343;192.9;H;20040609;20040827;845518;R;V;VACANT LAND;;PB;;0;AA927897;
C;246;2653461;2;20040916 10:06;2/630227;
D;246;2653461;2;20040916 10:06;P;;;;;;
D;246;2653461;2;20040916 10:06;P;;;;;;
D;246;2653461;2;20040916 10:06;V;;;;;;
B;246;3111099;3;20040916 10:06;;;;MCDONALDS CREEK RD 'CRANBROOK';WILLOW TREE;2339;263.2;H;20040812;20040812;967230;;3;FARM;;;;0;AA909370;
C;246;3111099;3;20040916 10:06;1/163694 21/1066276;
D;246;3111099;3;20040916 10:06;P;;;;;;
D;246;3111099;3;20040916 10:06;P;;;;;;
D;246;3111099;3;20040916 10:06;V;;;;;;
Z;16;3;3;8;
