A;171;20040716 12:43;PDANN;
B;171;1803846;1;20040716 12:44;;;9;AMARILLO DR;DUNBIBLE;2484;4585;M;20040513;20040621;519000;R;R;RESIDENCE;;RE;;0;AA745981;
C;171;1803846;1;20040716 12:44;18//809316;
D;171;1803846;1;20040716 12:44;P;;;;;;
D;171;1803846;1;20040716 12:44;V;;;;;;
D;171;1803846;1;20040716 12:44;V;;;;;;
B;171;1803908;2;20040716 12:44;;;10;AMAROO DR;BANORA POINT;2486;728.6;M;20040517;20040616;303000;A;R;RESIDENCE;;HQ;;0;AA779776;
C;171;1803908;2;20040716 12:44;223//787100;
D;171;1803908;2;20040716 12:44;P;;;;;;
D;171;1803908;2;20040716 12:44;P;;;;;;
D;171;1803908;2;20040716 12:44;V;;;;;;
D;171;1803908;2;20040716 12:44;V;;;;;;
B;171;1804401;3;20040716 12:44;;1;69;AVONDALE DR;BANORA POINT;2486;;;20040528;20040621;300000;;R;RESIDENCE;1;;;0;AA752224;
C;171;1804401;3;20040716 12:44;1//SP 57985;
D;171;1804401;3;20040716 12:44;P;;;;;;
D;171;1804401;3;20040716 12:44;P;;;;;;
D;171;1804401;3;20040716 12:44;V;;;;;;
B;171;1805293;4;20040716 12:44;;;47;BAWDEN ST;TUMBULGUM;2490;;;20040401;20040622;225000;A;R;RESIDENCE;;MA;;0;AA767611;
C;171;1805293;4;20040716 12:44;29, 30/2/1223;
D;171;1805293;4;20040716 12:44;P;;;;;;
D;171;1805293;4;20040716 12:44;V;;;;;;
D;171;1805293;4;20040716 12:44;V;;;;;;
B;171;1806038;5;20040716 12:44;;1;26;BIRKDALE CT;BANORA POINT;2486;;;20020504;20020604;307500;;R;RESIDENCE;1;;;0;AA756304;
C;171;1806038;5;20040716 12:44;1//SP 46465;
D;171;1806038;5;20040716 12:44;P;;;;;;
D;171;1806038;5;20040716 12:44;P;;;;;;
D;171;1806038;5;20040716 12:44;V;;;;;;
B;171;1806782;6;20040716 12:44;;;75;BOTANICAL CCT;BANORA POINT;2486;651.7;M;20040602;20040625;430000;A;R;RESIDENCE;;NC;;0;AA788819;
C;171;1806782;6;20040716 12:44;240//1015373;
D;171;1806782;6;20040716 12:44;P;;;;;;
D;171;1806782;6;20040716 12:44;P;;;;;;
D;171;1806782;6;20040716 12:44;V;;;;;;
D;171;1806782;6;20040716 12:44;V;;;;;;
B;171;1806968;7;20040716 12:44;;6;22;BOUNDARY ST;TWEED HEADS;2485;;;20040514;20040618;400000;;R;RESIDENCE;6;;;0;AA762344;
C;171;1806968;7;20040716 12:44;6//SP 18430;
D;171;1806968;7;20040716 12:44;P;;;;;;
D;171;1806968;7;20040716 12:44;P;;;;;;
D;171;1806968;7;20040716 12:44;V;;;;;;
D;171;1806968;7;20040716 12:44;V;;;;;;
B;171;1807414;8;20040716 12:44;;;132;BROADWATER ESP;BILAMBIL HEIGHTS;2486;866.3;M;20030926;20031023;355000;A;R;RESIDENCE;;NF;;0;AA797475;
C;171;1807414;8;20040716 12:44;473//31998;
D;171;1807414;8;20040716 12:44;P;;;;;;
D;171;1807414;8;20040716 12:44;P;;;;;;
D;171;1807414;8;20040716 12:44;V;;;;;;
D;171;1807414;8;20040716 12:44;V;;;;;;
B;171;1808680;9;20040716 12:44;;;407;CAROOL RD;CAROOL;2486;6399;M;20040510;20040615;150000;R;V;VACANT LAND;;RB;;0;AA777101;
C;171;1808680;9;20040716 12:44;270//755685;
D;171;1808680;9;20040716 12:44;P;;;;;;
D;171;1808680;9;20040716 12:44;P;;;;;;
D;171;1808680;9;20040716 12:44;V;;;;;;
B;171;1808707;10;20040716 12:44;;6;1;CARRAMAR DR;TWEED HEADS;2485;;;20040525;20040628;260000;;R;RESIDENCE;30;;;0;AA769859;
C;171;1808707;10;20040716 12:44;30//SP 32820;
D;171;1808707;10;20040716 12:44;P;;;;;;
D;171;1808707;10;20040716 12:44;P;;;;;;
D;171;1808707;10;20040716 12:44;V;;;;;;
B;171;1809131;11;20040716 12:44;;;32;CHAMPAGNE DR;TWEED HEADS SOUTH;2486;698.7;M;20040401;20040701;540000;A;R;RESIDENCE;;NC;;0;AA776304;
C;171;1809131;11;20040716 12:44;305//844423;
D;171;1809131;11;20040716 12:44;P;;;;;;
D;171;1809131;11;20040716 12:44;P;;;;;;
D;171;1809131;11;20040716 12:44;V;;;;;;
D;171;1809131;11;20040716 12:44;V;;;;;;
B;171;1809887;12;20040716 12:44;;;;COALMINE RD;MOUNT BURRELL;2484;110.2;H;20040309;20040427;350000;R;3;FARM;;TA;;0;AA755346;
C;171;1809887;12;20040716 12:44;44//755714;
D;171;1809887;12;20040716 12:44;P;;;;;;
D;171;1809887;12;20040716 12:44;P;;;;;;
D;171;1809887;12;20040716 12:44;V;;;;;;
B;171;1810179;13;20040716 12:44;;1;79;TWEED COAST RD;BOGANGAR;2488;;;20040506;20040607;248000;;R;RESIDENCE;1;;;0;AA775872;
C;171;1810179;13;20040716 12:44;1//SP 51076;
D;171;1810179;13;20040716 12:44;P;;;;;;
D;171;1810179;13;20040716 12:44;V;;;;;;
B;171;1810295;14;20040716 12:44;;;189;COBAKI RD;COBAKI;2486;1044;M;20040531;20040618;425000;R;3;;;RB;;0;AA762691;
C;171;1810295;14;20040716 12:44;1//709736;
D;171;1810295;14;20040716 12:44;P;;;;;;
D;171;1810295;14;20040716 12:44;P;;;;;;
D;171;1810295;14;20040716 12:44;V;;;;;;
D;171;1810295;14;20040716 12:44;V;;;;;;
B;171;1810330;15;20040716 12:44;;;8;COLLIER ST;CUDGEN;2487;784.1;M;20040507;20040608;332100;A;R;RESIDENCE;;JE;;0;AA780481;
C;171;1810330;15;20040716 12:44;7//5999;
D;171;1810330;15;20040716 12:44;P;;;;;;
D;171;1810330;15;20040716 12:44;P;;;;;;
D;171;1810330;15;20040716 12:44;P;;;;;;
D;171;1810330;15;20040716 12:44;V;;;;;;
B;171;1810348;16;20040716 12:44;;;16;COLONIAL DR;CONDONG;2484;575.4;M;20040512;20040617;235000;A;R;RESIDENCE;;JS;;0;AA759816;
C;171;1810348;16;20040716 12:44;7//22947;
D;171;1810348;16;20040716 12:44;P;;;;;;
D;171;1810348;16;20040716 12:44;V;;;;;;
D;171;1810348;16;20040716 12:44;V;;;;;;
D;171;1810348;16;20040716 12:44;V;;;;;;
B;171;1810797;17;20040716 12:44;;;40;COOLOON CRES;TWEED HEADS SOUTH;2486;626;M;20040602;20040630;300000;A;R;RESIDENCE;;NK;;0;AA783256;
C;171;1810797;17;20040716 12:44;8//239522;
D;171;1810797;17;20040716 12:44;P;;;;;;
D;171;1810797;17;20040716 12:44;P;;;;;;
D;171;1810797;17;20040716 12:44;V;;;;;;
D;171;1810797;17;20040716 12:44;V;;;;;;
B;171;1812719;18;20040716 12:44;;3;50;DRY DOCK RD;TWEED HEADS SOUTH;2486;;;20040528;20040628;185000;;R;RESIDENCE;3;;;0;AA762172;
C;171;1812719;18;20040716 12:44;3//SP 35835;
D;171;1812719;18;20040716 12:44;P;;;;;;
D;171;1812719;18;20040716 12:44;V;;;;;;
D;171;1812719;18;20040716 12:44;V;;;;;;
