A;053;20060316 01:22;VALNET;
B;053;510516;1;20060316 01:22;;;;PH BIRGANBIGIL;CONARGO;2710;249.2;H;20051019;20060217;444080;R;3;FARM;;RW;;0;AC164399;
C;053;510516;1;20060316 01:22;3, 4/134953 2/179283 55/756250;
D;053;510516;1;20060316 01:22;P;;;;;;
D;053;510516;1;20060316 01:22;V;;;;;;
D;053;510516;1;20060316 01:22;V;;;;;;
B;053;510560;2;20060316 01:22;;;;PH BLACKWOOD;CONARGO;2710;211.2;H;20051123;20060131;2232200;R;3;FARM;;RW;;0;AC138005;
C;053;510560;2;20060316 01:22;82/756251;
D;053;510560;2;20060316 01:22;P;;;;;;
D;053;510560;2;20060316 01:22;P;;;;;;
D;053;510560;2;20060316 01:22;V;;;;;;
D;053;510560;2;20060316 01:22;V;;;;;;
B;053;510563;3;20060316 01:22;;;;PH BLACKWOOD;CONARGO;2710;211.2;H;20051123;20060131;2232200;R;3;FARM;;RW;;0;AC138005;
C;053;510563;3;20060316 01:22;87/756251;
D;053;510563;3;20060316 01:22;P;;;;;;
D;053;510563;3;20060316 01:22;P;;;;;;
D;053;510563;3;20060316 01:22;V;;;;;;
D;053;510563;3;20060316 01:22;V;;;;;;
B;053;573372;4;20060316 01:22;;;;DEVON RD, "BIRDWOOD";DENILIQUIN;2271;491.8;H;20051207;20051230;1650000;R;3;FARM;;RW;;50;AC138430;
C;053;573372;4;20060316 01:22;1, 6, 7, 67/756256 28, 78, 79/756292 . . . . Conditional Purchase Leas;
C;053;573372;4;20060316 01:22;e 1989/37 Road Permit 1954/5 Conditional Purchase Lease 1989/36 Enclos;
C;053;573372;4;20060316 01:22;ure Permit 28782;
D;053;573372;4;20060316 01:22;P;;;;;;
D;053;573372;4;20060316 01:22;P;;;;;;
D;053;573372;4;20060316 01:22;P;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
D;053;573372;4;20060316 01:22;V;;;;;;
B;053;573374;5;20060316 01:22;;;;PH BOREE;DENILIQUIN;2710;645.2;H;20051207;20051230;1650000;R;3;FARM;;RW;;50;AC138430;
C;053;573374;5;20060316 01:22;2/598518 11, 62, 64, 66, 68, 80/756256 . Enclosure Permit 27942;
D;053;573374;5;20060316 01:22;P;;;;;;
D;053;573374;5;20060316 01:22;P;;;;;;
D;053;573374;5;20060316 01:22;P;;;;;;
D;053;573374;5;20060316 01:22;V;;;;;;
D;053;573374;5;20060316 01:22;V;;;;;;
D;053;573374;5;20060316 01:22;V;;;;;;
D;053;573374;5;20060316 01:22;V;;;;;;
D;053;573374;5;20060316 01:22;V;;;;;;
B;053;573443;6;20060316 01:22;;;;DEVON RD, "BIRDWOOD";DENILIQUIN;2271;1011.6;H;20051207;20051230;1650000;R;3;FARM;;RW;;50;AC138430;
C;053;573443;6;20060316 01:22;1, 2/538237 . . . Road Permit 29/13 Road Permit 9/51 Enclosure Permit ;
C;053;573443;6;20060316 01:22;61724;
D;053;573443;6;20060316 01:22;P;;;;;;
D;053;573443;6;20060316 01:22;P;;;;;;
D;053;573443;6;20060316 01:22;P;;;;;;
D;053;573443;6;20060316 01:22;V;;;;;;
D;053;573443;6;20060316 01:22;V;;;;;;
D;053;573443;6;20060316 01:22;V;;;;;;
D;053;573443;6;20060316 01:22;V;;;;;;
D;053;573443;6;20060316 01:22;V;;;;;;
B;053;3235456;7;20060316 01:22;;;LOT123;PART WOOROOMA;MOULAMEIN;2733;66.82;H;20051208;20060109;250000;;3;FARM;;;;0;AC132840;
C;053;3235456;7;20060316 01:22;123/1085321;
D;053;3235456;7;20060316 01:22;P;;;;;;
D;053;3235456;7;20060316 01:22;P;;;;;;
D;053;3235456;7;20060316 01:22;V;;;;;;
B;053;3230778;8;20060316 01:22;;;;MIDDLETON RD;DENILIQUIN;2710;278.2;H;20050915;20060224;550790;;3;FARM;;;;0;AC147189;
C;053;3230778;8;20060316 01:22;3/1092830;
D;053;3230778;8;20060316 01:22;P;;;;;;
D;053;3230778;8;20060316 01:22;P;;;;;;
D;053;3230778;8;20060316 01:22;V;;;;;;
B;053;3237861;9;20060316 01:22;;;;MIDDLETON RD;DENILIQUIN;2710;64.73;H;20050915;20060224;550790;;3;FARM;;;;0;AC147189;
C;053;3237861;9;20060316 01:22;522/862655 . Enclosure Permit 028338 WB 152586;
D;053;3237861;9;20060316 01:22;P;;;;;;
D;053;3237861;9;20060316 01:22;P;;;;;;
D;053;3237861;9;20060316 01:22;V;;;;;;
Z;72;9;12;49;
