A;303;20060216 01:28;VALNET;
B;303;1725212;1;20060216 01:28;;;12;WILLIAM ST;SOUTH GRAFTON;2460;1366;M;20051209;20060120;160000;A;R;RESIDENCE;;AD;;0;AC88893;
C;303;1725212;1;20060216 01:28;1/780757;
D;303;1725212;1;20060216 01:28;P;;;;;;
D;303;1725212;1;20060216 01:28;P;;;;;;
D;303;1725212;1;20060216 01:28;P;;;;;;
D;303;1725212;1;20060216 01:28;P;;;;;;
D;303;1725212;1;20060216 01:28;V;;;;;;
B;303;1720060;2;20060216 01:28;;;366;DOBIE ST;GRAFTON;2460;531.1;M;20051124;20051215;175000;A;R;RESIDENCE;;EB;;0;AC100288;
C;303;1720060;2;20060216 01:28;2/164565;
D;303;1720060;2;20060216 01:28;P;;;;;;
D;303;1720060;2;20060216 01:28;V;;;;;;
D;303;1720060;2;20060216 01:28;V;;;;;;
B;303;1723050;3;20060216 01:28;;;12;POUND ST;GRAFTON;2460;;;20051209;20060120;255000;A;R;RESIDENCE;;EE;;0;AC72042;
C;303;1723050;3;20060216 01:28;5/741107;
D;303;1723050;3;20060216 01:28;P;;;;;;
D;303;1723050;3;20060216 01:28;P;;;;;;
D;303;1723050;3;20060216 01:28;V;;;;;;
D;303;1723050;3;20060216 01:28;V;;;;;;
B;303;1723052;4;20060216 01:28;;;16;POUND ST;GRAFTON;2460;857.4;M;20051102;20060113;170000;A;R;RESIDENCE;;EE;;0;AC86592;
C;303;1723052;4;20060216 01:28;3/781258;
D;303;1723052;4;20060216 01:28;P;;;;;;
D;303;1723052;4;20060216 01:28;V;;;;;;
B;303;1720536;5;20060216 01:28;;;2;FITZROY ST;GRAFTON;2460;1315;M;20060111;20060203;240000;A;R;RESIDENCE;;EE;;0;AC94406;
C;303;1720536;5;20060216 01:28;1, 2/782864;
D;303;1720536;5;20060216 01:28;P;;;;;;
D;303;1720536;5;20060216 01:28;V;;;;;;
D;303;1720536;5;20060216 01:28;V;;;;;;
B;303;1718085;6;20060216 01:28;;;12;ARGYLE CL;GRAFTON;2460;647.1;M;20051221;20060125;330000;A;R;RESIDENCE;;EE;;0;AC101142;
C;303;1718085;6;20060216 01:28;14/259977;
D;303;1718085;6;20060216 01:28;P;;;;;;
D;303;1718085;6;20060216 01:28;P;;;;;;
D;303;1718085;6;20060216 01:28;V;;;;;;
B;303;1720690;7;20060216 01:28;;;8;FLEMING ST;SOUTH GRAFTON;2460;676.6;M;20051205;20060102;196000;A;R;RESIDENCE;;AD;;0;AC72096;
C;303;1720690;7;20060216 01:28;2/362792;
D;303;1720690;7;20060216 01:28;P;;;;;;
D;303;1720690;7;20060216 01:28;V;;;;;;
B;303;1720955;8;20060216 01:28;;;42;GEORGE ST;SOUTH GRAFTON;2460;564;M;20051224;20060116;95000;A;R;RESIDENCE;;AD;;0;AC86672;
C;303;1720955;8;20060216 01:28;4/38226;
D;303;1720955;8;20060216 01:28;P;;;;;;
D;303;1720955;8;20060216 01:28;V;;;;;;
D;303;1720955;8;20060216 01:28;V;;;;;;
D;303;1720955;8;20060216 01:28;V;;;;;;
B;303;1718535;9;20060216 01:28;;;19;BACON ST;GRAFTON;2460;733.5;M;20051130;20060110;222500;A;R;RESIDENCE;;EE;;0;AC79793;
C;303;1718535;9;20060216 01:28;3/782884;
D;303;1718535;9;20060216 01:28;P;;;;;;
D;303;1718535;9;20060216 01:28;V;;;;;;
B;303;1721592;10;20060216 01:28;;;24;KENT ST;GRAFTON;2460;556.4;M;20051222;20060130;176700;A;R;RESIDENCE;;EE;;0;AC101285;
C;303;1721592;10;20060216 01:28;2/781258;
D;303;1721592;10;20060216 01:28;P;;;;;;
D;303;1721592;10;20060216 01:28;V;;;;;;
D;303;1721592;10;20060216 01:28;V;;;;;;
B;303;1716606;11;20060216 01:28;;;805;SUMMERLAND WAY;CARRS CREEK;2460;3.22;H;20051124;20060113;440000;R;R;RESIDENCE;;HG;;0;AC54800;
C;303;1716606;11;20060216 01:28;1/196160 PT 246/751371;
D;303;1716606;11;20060216 01:28;P;;;;;;
D;303;1716606;11;20060216 01:28;P;;;;;;
D;303;1716606;11;20060216 01:28;V;;;;;;
B;303;1724508;12;20060216 01:28;;;18;THROUGH ST;SOUTH GRAFTON;2460;1214;M;20051130;20060125;220000;I;R;RESIDENCE;;FD;;0;AC91384;
C;303;1724508;12;20060216 01:28;1/558368;
D;303;1724508;12;20060216 01:28;P;;;;;;
D;303;1724508;12;20060216 01:28;P;;;;;;
D;303;1724508;12;20060216 01:28;V;;;;;;
B;303;1724560;13;20060216 01:28;;;59;TINTENBAR RD;SOUTH GRAFTON;2460;10.38;H;20051222;20060125;275000;R;R;RESIDENCE;;RQ;;0;AC93472;
C;303;1724560;13;20060216 01:28;1/620842;
D;303;1724560;13;20060216 01:28;P;;;;;;
D;303;1724560;13;20060216 01:28;V;;;;;;
B;303;1716731;14;20060216 01:28;;;134;TRENAYR RD;JUNCTION HILL;2460;2;H;20051222;20060131;360000;R;R;RESIDENCE;;HG;;0;AC92687;
C;303;1716731;14;20060216 01:28;2/719137;
D;303;1716731;14;20060216 01:28;P;;;;;;
D;303;1716731;14;20060216 01:28;P;;;;;;
D;303;1716731;14;20060216 01:28;V;;;;;;
B;303;1716818;15;20060216 01:28;;;449;GREAT MARLOW RD;GREAT MARLOW;2460;19.42;H;20050906;20060119;435000;R;R;RESIDENCE;;GM;;0;AC75615;
C;303;1716818;15;20060216 01:28;148/751371;
D;303;1716818;15;20060216 01:28;P;;;;;;
D;303;1716818;15;20060216 01:28;P;;;;;;
D;303;1716818;15;20060216 01:29;V;;;;;;
B;303;1719583;16;20060216 01:29;;;36;CHAPMAN ST;GRAFTON;2460;849.8;M;20051123;20051216;220000;A;R;RESIDENCE;;EE;;0;AC97342;
C;303;1719583;16;20060216 01:29;1/445194;
D;303;1719583;16;20060216 01:29;P;;;;;;
D;303;1719583;16;20060216 01:29;P;;;;;;
D;303;1719583;16;20060216 01:29;V;;;;;;
D;303;1719583;16;20060216 01:29;V;;;;;;
B;303;1724880;17;20060216 01:29;;;131;VICTORIA ST;GRAFTON;2460;862.5;M;20051214;20060116;455000;A;R;RESIDENCE;;AX;;0;AC97036;
C;303;1724880;17;20060216 01:29;B/364448;
D;303;1724880;17;20060216 01:29;P;;;;;;
D;303;1724880;17;20060216 01:29;P;;;;;;
D;303;1724880;17;20060216 01:29;V;;;;;;
D;303;1724880;17;20060216 01:29;V;;;;;;
B;303;1719705;18;20060216 01:29;;;97;CLARENCE ST;GRAFTON;2460;612.1;M;20051130;20060120;203000;A;R;RESIDENCE;;EE;;0;AC88583;
C;303;1719705;18;20060216 01:29;3/19897;
D;303;1719705;18;20060216 01:29;P;;;;;;
D;303;1719705;18;20060216 01:29;P;;;;;;
D;303;1719705;18;20060216 01:29;V;;;;;;
D;303;1719705;18;20060216 01:29;V;;;;;;
B;303;1765583;19;20060216 01:29;;;16;MCLACHLAN ST;MACLEAN;2463;613.1;M;20051209;20051223;215000;A;R;RESIDENCE;;LQ;;0;AC78336;
C;303;1765583;19;20060216 01:29;1/995401;
D;303;1765583;19;20060216 01:29;P;;;;;;
D;303;1765583;19;20060216 01:29;P;;;;;;
D;303;1765583;19;20060216 01:29;V;;;;;;
D;303;1765583;19;20060216 01:29;V;;;;;;
