A;034;20081215 05:29;VALNET;
B;034;445340;1;20081215 05:29;;1;43;SOHO ST;COOMA;2630;;;20081015;20081126;260000;;R;RESIDENCE;1;;;0;AE366888;
C;034;445340;1;20081215 05:29;1/SP49749;
D;034;445340;1;20081215 05:29;P;;;;;;
D;034;445340;1;20081215 05:29;P;;;;;;
D;034;445340;1;20081215 05:29;V;;;;;;
B;034;443863;2;20081215 05:29;;;1;HILL ST;COOMA;2630;1012;M;20081017;20081114;325000;A;R;RESIDENCE;;AG;;0;AE359635;
C;034;443863;2;20081215 05:29;1/651360;
D;034;443863;2;20081215 05:29;P;;;;;;
D;034;443863;2;20081215 05:29;P;;;;;;
D;034;443863;2;20081215 05:29;V;;;;;;
D;034;443863;2;20081215 05:29;V;;;;;;
B;034;441398;3;20081215 05:29;;;39;MOUNT LIVINGSTONE RD;MICHELAGO;2620;2.031;H;20080629;20081119;588000;R;R;RESIDENCE;;RW;;0;AE360213;
C;034;441398;3;20081215 05:29;2/853559;
D;034;441398;3;20081215 05:29;P;;;;;;
D;034;441398;3;20081215 05:29;P;;;;;;
D;034;441398;3;20081215 05:29;V;;;;;;
D;034;441398;3;20081215 05:29;V;;;;;;
B;034;444129;4;20081215 05:29;;;30;LAMBIE ST;COOMA;2630;2232;M;20081017;20081114;470000;A;R;RESIDENCE;;AG;;0;AE362546;
C;034;444129;4;20081215 05:29;1/735357;
D;034;444129;4;20081215 05:29;P;;;;;;
D;034;444129;4;20081215 05:29;P;;;;;;
D;034;444129;4;20081215 05:29;V;;;;;;
D;034;444129;4;20081215 05:29;V;;;;;;
B;034;441974;5;20081215 05:29;;;;WARRENS CORNER RD;NUMERALLA;2630;9.844;H;20080918;20081030;145000;R;3;FARM/RURAL;;RN;;0;AE354196;
C;034;441974;5;20081215 05:29;11/832319;
D;034;441974;5;20081215 05:29;P;;;;;;
D;034;441974;5;20081215 05:29;P;;;;;;
D;034;441974;5;20081215 05:29;V;;;;;;
D;034;441974;5;20081215 05:29;V;;;;;;
B;034;445078;6;20081215 05:29;;;155;SHARP ST;COOMA;2630;215;M;20081110;20081110;750000;B;3;COMMERCIAL;;BP;;0;AE362790;
C;034;445078;6;20081215 05:29;6/238254;
D;034;445078;6;20081215 05:29;P;;;;;;
D;034;445078;6;20081215 05:29;V;;;;;;
D;034;445078;6;20081215 05:29;V;;;;;;
B;034;3085674;7;20081215 05:29;ROSE VALLEY STATION;;1318;ROSE VALLEY RD;ROSE VALLEY;2630;377.4;H;20080903;20080903;1500000;R;R;RESIDENCE;;RM;;0;AE255949;
C;034;3085674;7;20081215 05:29;3, 4, 8, 31, 37/750532 Enclosure Permit 366237;
D;034;3085674;7;20081215 05:29;P;;;;;;
D;034;3085674;7;20081215 05:29;V;;;;;;
B;034;3424706;8;20081215 05:29;;;;CAMPBELL ST;COOMA;2630;256.5;M;20080919;20081023;905;;V;VACANT LAND;;;;0;AE314901;
C;034;3424706;8;20081215 05:29;30/1129026;
D;034;3424706;8;20081215 05:29;P;;;;;;
D;034;3424706;8;20081215 05:29;V;;;;;;
B;034;3424731;9;20081215 05:29;;;23;VICTORIA ST;COOMA;2630;16.19;M;20080919;20081023;6476;;V;VACANT LAND;;;;0;AE314676;
C;034;3424731;9;20081215 05:29;28/1129026;
D;034;3424731;9;20081215 05:29;P;;;;;;
D;034;3424731;9;20081215 05:29;V;;;;;;
Z;48;9;9;28;
