A;RTSALEDATA;302;20160606 01:35;VALNET;
B;302;3469001;1;20160606 01:35;ADWILL;;94;FISHERS RD;PINKETT;2370;280.96;H;20160314;20160506;440000;RU1;R;RESIDENCE;;RER;;0;AK471623;
C;302;3469001;1;20160606 01:35;1/555226 158/726313 34, 35, 60, 65, 126, 127, 129/753324;
D;302;3469001;1;20160606 01:35;P;;;;;;
D;302;3469001;1;20160606 01:35;V;;;;;;
D;302;3469001;1;20160606 01:35;V;;;;;;
D;302;3469001;1;20160606 01:35;V;;;;;;
B;302;1847072;2;20160606 01:35;;;87;HUNTER ST;GLEN INNES;2370;796.7;M;20160506;20160524;180000;R1;R;RESIDENCE;;AAA;;0;AK472971;
C;302;1847072;2;20160606 01:35;18/24028;
D;302;1847072;2;20160606 01:35;P;;;;;;
D;302;1847072;2;20160606 01:35;P;;;;;;
D;302;1847072;2;20160606 01:35;V;;;;;;
D;302;1847072;2;20160606 01:35;V;;;;;;
B;302;1846127;3;20160606 01:35;;;182;CHURCH ST;GLEN INNES;2370;834.7;M;20160502;20160523;178000;R1;R;RESIDENCE;;AAC;;0;AK470241;
C;302;1846127;3;20160606 01:35;1/161835;
D;302;1846127;3;20160606 01:35;P;;;;;;
D;302;1846127;3;20160606 01:35;V;;;;;;
B;302;1846488;4;20160606 01:35;;;7;ELIZABETH ST;GLEN INNES;2370;1100;M;20160225;20160418;190000;R1;R;RESIDENCE;;AAA;;0;AK466869;
C;302;1846488;4;20160606 01:35;15/20297;
D;302;1846488;4;20160606 01:35;P;;;;;;
D;302;1846488;4;20160606 01:35;P;;;;;;
D;302;1846488;4;20160606 01:35;V;;;;;;
D;302;1846488;4;20160606 01:35;V;;;;;;
D;302;1846488;4;20160606 01:35;V;;;;;;
B;302;2660826;5;20160606 01:35;;;431;RUWENZORIE RD;WELLINGROVE;2370;209.9;H;20160419;20160520;790000;RU1;3;FARM;;RSW;;0;AK468310;
C;302;2660826;5;20160606 01:35;37/753278;
D;302;2660826;5;20160606 01:35;P;;;;;;
D;302;2660826;5;20160606 01:35;V;;;;;;
D;302;2660826;5;20160606 01:35;V;;;;;;
B;302;3142021;6;20160606 01:35;;;317;GRAFTON ST;GLEN INNES;2370;2;H;20160415;20160524;275000;RU1;R;RESIDENCE;;REG;;0;AK480043;
C;302;3142021;6;20160606 01:35;1/1077090;
D;302;3142021;6;20160606 01:35;P;;;;;;
D;302;3142021;6;20160606 01:35;P;;;;;;
D;302;3142021;6;20160606 01:35;V;;;;;;
D;302;3142021;6;20160606 01:35;V;;;;;;
B;302;3266716;7;20160606 01:35;;;1867;GLEN ELGIN RD;GLEN ELGIN;2370;735.99;H;20160324;20160512;1200000;RU1;3;FARM;;RER;;0;AK453652;
C;302;3266716;7;20160606 01:35;18/722441 13/751514;
D;302;3266716;7;20160606 01:35;P;;;;;;
D;302;3266716;7;20160606 01:35;P;;;;;;
D;302;3266716;7;20160606 01:35;V;;;;;;
B;302;3935800;8;20160606 01:35;;;56;VICTORIA ST;RED RANGE;2370;4290;M;20150604;20151006;140000;;R;RESIDENCE;;;;0;AK466771;
C;302;3935800;8;20160606 01:35;2/1211251;
D;302;3935800;8;20160606 01:35;P;;;;;;
D;302;3935800;8;20160606 01:35;V;;;;;;
Z;45;8;8;27;
