A;RTSALEDATA;209;20160307 01:15;VALNET;
B;209;2055843;1;20160307 01:15;;;11;CRAIG AVE;VAUCLUSE;2030;708;M;20151019;20160201;4150000;R2;R;RESIDENCE;;ADH;;0;AK249417;
C;209;2055843;1;20160307 01:15;26/605053;
D;209;2055843;1;20160307 01:15;P;;;;;;
D;209;2055843;1;20160307 01:15;P;;;;;;
D;209;2055843;1;20160307 01:15;V;;;;;;
B;209;2058945;2;20160307 01:15;;1;128;FRANCIS ST;BONDI BEACH;2026;;;20160130;20160229;785000;;R;RESIDENCE;1;;;0;AK263229;
C;209;2058945;2;20160307 01:15;1/SP12816;
D;209;2058945;2;20160307 01:15;P;;;;;;
D;209;2058945;2;20160307 01:15;V;;;;;;
D;209;2058945;2;20160307 01:15;V;;;;;;
B;209;2048451;3;20160307 01:15;;4;47;ALBION ST;WAVERLEY;2024;;;20151207;20160223;850000;;R;RESIDENCE;4;;;0;AK254999;
C;209;2048451;3;20160307 01:15;4/SP4010;
D;209;2048451;3;20160307 01:15;P;;;;;;
D;209;2048451;3;20160307 01:15;P;;;;;;
D;209;2048451;3;20160307 01:15;V;;;;;;
B;209;2051158;4;20160307 01:15;;;22;BLANDFORD AVE;BRONTE;2024;392;M;20151028;20160120;2625000;R2;R;RESIDENCE;;ABR;;0;AK249483;
C;209;2051158;4;20160307 01:15;32/19554;
D;209;2051158;4;20160307 01:15;P;;;;;;
D;209;2051158;4;20160307 01:15;P;;;;;;
D;209;2051158;4;20160307 01:15;V;;;;;;
D;209;2051158;4;20160307 01:15;V;;;;;;
B;209;2059508;5;20160307 01:15;;;16 A;GARDYNE ST;BRONTE;2024;670.3;M;20151019;20160222;5250000;R2;R;RESIDENCE;;ABR;;0;AK254373;
C;209;2059508;5;20160307 01:15;115/1033;
D;209;2059508;5;20160307 01:15;P;;;;;;
D;209;2059508;5;20160307 01:15;V;;;;;;
D;209;2059508;5;20160307 01:15;V;;;;;;
B;209;2060440;6;20160307 01:15;;2;78;GLENAYR AVE;NORTH BONDI;2026;;;20151208;20160122;1180000;;R;RESIDENCE;2;;;0;AK208029;
C;209;2060440;6;20160307 01:15;2/SP11056;
D;209;2060440;6;20160307 01:15;P;;;;;;
D;209;2060440;6;20160307 01:15;P;;;;;;
D;209;2060440;6;20160307 01:15;V;;;;;;
D;209;2060440;6;20160307 01:15;V;;;;;;
B;209;2058029;7;20160307 01:15;;2;52;EDWARD ST;BONDI;2026;;;20151012;20151113;356800;;R;RESIDENCE;2;;;50;AK240923;
C;209;2058029;7;20160307 01:15;2/SP21824;
D;209;2058029;7;20160307 01:15;P;;;;;;
D;209;2058029;7;20160307 01:15;P;;;;;;
D;209;2058029;7;20160307 01:15;V;;;;;;
D;209;2058029;7;20160307 01:15;V;;;;;;
D;209;2058029;7;20160307 01:15;V;;;;;;
D;209;2058029;7;20160307 01:15;V;;;;;;
B;209;2077079;8;20160307 01:15;;12;21;WAVERLEY ST;BONDI JUNCTION;2022;;;20151219;20160229;1150000;;R;RESIDENCE;12;;;0;AK260423;
C;209;2077079;8;20160307 01:15;12/SP8774;
D;209;2077079;8;20160307 01:15;P;;;;;;
D;209;2077079;8;20160307 01:15;P;;;;;;
D;209;2077079;8;20160307 01:15;V;;;;;;
B;209;2064050;9;20160307 01:15;;8;30;LIVERPOOL ST;ROSE BAY;2029;;;20151214;20160225;865000;;R;RESIDENCE;8;;;0;AK258779;
C;209;2064050;9;20160307 01:15;8/SP3000;
D;209;2064050;9;20160307 01:15;P;;;;;;
D;209;2064050;9;20160307 01:15;P;;;;;;
D;209;2064050;9;20160307 01:15;V;;;;;;
B;209;2078118;10;20160307 01:15;;;24;YANKO AVE;BRONTE;2024;371.55;M;20151126;20160215;5375000;R2;R;RESIDENCE;;ABR;;0;AK259417;
C;209;2078118;10;20160307 01:15;A/306082;
D;209;2078118;10;20160307 01:15;P;;;;;;
D;209;2078118;10;20160307 01:15;V;;;;;;
B;209;2075796;11;20160307 01:15;;;12;THOMPSON ST;TAMARAMA;2026;347.8;M;20151204;20160215;3605000;R2;R;RESIDENCE;;ABR;;0;AK260482;
C;209;2075796;11;20160307 01:15;35/16732;
D;209;2075796;11;20160307 01:15;P;;;;;;
D;209;2075796;11;20160307 01:15;V;;;;;;
D;209;2075796;11;20160307 01:15;V;;;;;;
B;209;2065538;12;20160307 01:15;;;209;MILITARY RD;DOVER HEIGHTS;2030;473.8;M;20151203;20160225;2732000;R2;R;RESIDENCE;;ADH;;0;AK259768;
C;209;2065538;12;20160307 01:15;B/343493;
D;209;2065538;12;20160307 01:15;P;;;;;;
D;209;2065538;12;20160307 01:15;V;;;;;;
B;209;2075012;13;20160307 01:15;;59;35;SPRING ST;BONDI JUNCTION;2022;;;20160127;20160219;858000;;3;COMMERCIAL;59;;;0;AK254093;
C;209;2075012;13;20160307 01:15;59/SP66175;
D;209;2075012;13;20160307 01:15;P;;;;;;
D;209;2075012;13;20160307 01:15;V;;;;;;
B;209;2073648;14;20160307 01:15;;4;87;ROSCOE ST;BONDI BEACH;2026;;;20151223;20160226;760000;;R;RESIDENCE;4;;;0;AK255953;
C;209;2073648;14;20160307 01:15;4/SP14858;
D;209;2073648;14;20160307 01:15;P;;;;;;
D;209;2073648;14;20160307 01:15;V;;;;;;
B;209;2098186;15;20160307 01:15;;27;268;OXFORD ST;BONDI JUNCTION;2022;;;20151203;20160223;1910000;;3;COMMERCIAL;27;;;0;AK253279;
C;209;2098186;15;20160307 01:15;27/SP63526;
D;209;2098186;15;20160307 01:15;P;;;;;;
D;209;2098186;15;20160307 01:15;V;;;;;;
B;209;2098186;16;20160307 01:15;;35;268;OXFORD ST;BONDI JUNCTION;2022;;;20151203;20160223;40000;;3;COMMERCIAL;35;;;0;AK249125;
C;209;2098186;16;20160307 01:15;35/SP63526;
D;209;2098186;16;20160307 01:15;P;;;;;;
D;209;2098186;16;20160307 01:15;V;;;;;;
B;209;2066126;17;20160307 01:15;;13;2;MILLER ST;BONDI;2026;;;20151126;20160218;990000;;R;RESIDENCE;13;;;0;AK243697;
C;209;2066126;17;20160307 01:15;13/SP4941;
D;209;2066126;17;20160307 01:15;P;;;;;;
D;209;2066126;17;20160307 01:15;P;;;;;;
D;209;2066126;17;20160307 01:15;V;;;;;;
D;209;2066126;17;20160307 01:15;V;;;;;;
B;209;3178240;18;20160307 01:15;;9;29;WAVERLEY ST;BONDI JUNCTION;2022;;;20151117;20160225;1200000;;R;RESIDENCE;9;;;0;AK257127;
C;209;3178240;18;20160307 01:15;9/SP75087;
D;209;3178240;18;20160307 01:15;P;;;;;;
D;209;3178240;18;20160307 01:15;V;;;;;;
B;209;3176015;19;20160307 01:15;;12;126;FRANCIS ST;BONDI BEACH;2026;;;20160217;20160218;800000;;R;RESIDENCE;12;;;0;AK255499;
C;209;3176015;19;20160307 01:15;12/SP74950;
D;209;3176015;19;20160307 01:15;P;;;;;;
D;209;3176015;19;20160307 01:15;P;;;;;;
D;209;3176015;19;20160307 01:15;V;;;;;;
B;209;3365177;20;20160307 01:15;;23;64;PENKIVIL ST;BONDI;2026;;;20151204;20160219;1250000;;R;RESIDENCE;23;;;0;AK250950;
C;209;3365177;20;20160307 01:15;23/SP80142;
D;209;3365177;20;20160307 01:15;P;;;;;;
D;209;3365177;20;20160307 01:15;V;;;;;;
B;209;2048678;21;20160307 01:15;;3;46;ALLENS PDE;BONDI JUNCTION;2022;144;M;20150811;20160208;1435000;;R;RESIDENCE;7;;;0;AK220006;
C;209;2048678;21;20160307 01:15;7/SP92873;
D;209;2048678;21;20160307 01:15;P;;;;;;
D;209;2048678;21;20160307 01:15;V;;;;;;
B;209;3891923;22;20160307 01:15;;308 H;6;BEACH RD;BONDI BEACH;2026;76;M;20130727;20160222;795000;;R;RESIDENCE;31;;;0;AK239699;
C;209;3891923;22;20160307 01:15;31/SP92045;
D;209;3891923;22;20160307 01:15;P;;;;;;
D;209;3891923;22;20160307 01:15;V;;;;;;
D;209;3891923;22;20160307 01:15;V;;;;;;
D;209;3891923;22;20160307 01:15;V;;;;;;
