A;RTSALEDATA;252;20160321 01:18;VALNET;
B;252;2677538;1;20160321 01:18;;;108 N;MIDDLE ST;WALCHA;2354;2453;M;20151210;20160229;185000;R1;R;RESIDENCE;;AAA;;0;AK285370;
C;252;2677538;1;20160321 01:18;A/409388;
D;252;2677538;1;20160321 01:18;P;;;;;;
D;252;2677538;1;20160321 01:18;P;;;;;;
D;252;2677538;1;20160321 01:18;V;;;;;;
B;252;2676665;2;20160321 01:18;BLAXLAND;;;WOLLUN RD;WALCHA ROAD;2354;212.1;H;20151116;20151216;3404090;RU1;3;RURAL;;RWG;;0;AK279331;
C;252;2676665;2;20160321 01:18;PT 295/755838;
D;252;2676665;2;20160321 01:18;P;;;;;;
D;252;2676665;2;20160321 01:18;P;;;;;;
D;252;2676665;2;20160321 01:18;V;;;;;;
D;252;2676665;2;20160321 01:18;V;;;;;;
B;252;3626369;3;20160321 01:18;;;653;ST LEONARDS CREEK RD;WALCHA;2354;126.667;H;20150825;20150930;8975800;RU1;3;FARM/RURAL;;RWC;;0;AK199226;
C;252;3626369;3;20160321 01:18;90/756497;
D;252;3626369;3;20160321 01:18;P;;;;;;
D;252;3626369;3;20160321 01:18;P;;;;;;
D;252;3626369;3;20160321 01:18;V;;;;;;
D;252;3626369;3;20160321 01:18;V;;;;;;
B;252;3870448;4;20160321 01:18;;;653;ST LEONARDS CREEK RD;WALCHA;2354;1489.8;H;20150825;20150930;8975800;RU1;3;FARM/RURAL;;REX;;0;AK199227;
C;252;3870448;4;20160321 01:18;2, 3, 4, 5, 6/250021 34/661940 88/756468 3, 5, 15, 46, 47, 48, 52, 56,;
C;252;3870448;4;20160321 01:18; 57, 58, 78, 79, 91, 92/756497 1, 2/1105438 1/1208097;
D;252;3870448;4;20160321 01:18;P;;;;;;
D;252;3870448;4;20160321 01:18;P;;;;;;
D;252;3870448;4;20160321 01:18;V;;;;;;
B;252;3820038;5;20160321 01:18;;;;ENFIELD RD;NOWENDOC;2354;5001.472;H;20151008;20151222;22510000;RU1;3;FARM;;RSB;RGO;0;AK183166;
C;252;3820038;5;20160321 01:18;49/43091 52/43092 1, 2, 5, 6, 7, 8, 10, 11, 12, 16, 18, 19, PT 25, 42,;
C;252;3820038;5;20160321 01:18; 45, 46/753698 7, 8, 27, 41/753704 PT 37, 64, 65, PT 96, 97/753710 1, ;
C;252;3820038;5;20160321 01:18;2, PT 3, PT 4/1193084 Occupation Permit HF17724;
D;252;3820038;5;20160321 01:18;P;;;;;;
D;252;3820038;5;20160321 01:18;V;;;;;;
Z;31;5;8;16;
