A;RTSALEDATA;233;20160620 01:09;VALNET;
B;233;2612953;1;20160620 01:09;;;BUNNAWANNA;0;BREWARRINA;2839;4201;H;20151218;20160226;3545000;RU1;3;FARM;;RGB;;0;AK399420;
C;233;2612953;1;20160620 01:09;433/761283 Western Land Lease 2362;
D;233;2612953;1;20160620 01:09;P;;;;;;
D;233;2612953;1;20160620 01:09;P;;;;;;
D;233;2612953;1;20160620 01:09;P;;;;;;
D;233;2612953;1;20160620 01:09;P;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
D;233;2612953;1;20160620 01:09;V;;;;;;
B;233;2612960;2;20160620 01:09;;;BUNNAWANNA;0;BREWARRINA;2839;15450;H;20151218;20160226;3545000;RU1;3;FARM;;RGB;;0;AK399420;
C;233;2612960;2;20160620 01:09;430/761261 2164/764277 3228/764554 Western Land Lease 2377 Western Lan;
C;233;2612960;2;20160620 01:09;d Lease 4367 Western Land Lease 5822;
D;233;2612960;2;20160620 01:09;P;;;;;;
D;233;2612960;2;20160620 01:09;P;;;;;;
D;233;2612960;2;20160620 01:09;P;;;;;;
D;233;2612960;2;20160620 01:09;P;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
D;233;2612960;2;20160620 01:09;V;;;;;;
Z;27;2;3;20;
